"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1026.8,26046.2,23616.4,-2429.8,-9.33,-0.86,""
"HDFCBANK",6,716.85,951.15,4301.1,5706.9,1405.8,32.68,0.07,""
"IRFC",27,146.85,123.51,3964.95,3334.77,-630.18,-15.89,-0.6,""
"JSWENERGY",1,728.7,531,728.7,531,-197.7,-27.13,0.45,""
"NHPC",13,89.95,86.3,1169.35,1121.9,-47.45,-4.06,0.47,""
"TATAMOTORS",10,769,680.45,7690,6804.5,-885.5,-11.51,1.18,""
"TATASTEEL",30,164.85,168.7,4945.5,5061,115.5,2.34,-0.21,""
"UJJIVANSFB",6,44.82,46.32,268.92,277.92,9,3.35,0.43,""
"VIKASLIFE",159,4.94,2.18,785.36,346.62,-438.74,-55.86,-0.91,""
