"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1140,26046.2,26220,173.8,0.67,-0.01,""
"HDFCBANK",6,716.85,987.3,4301.1,5923.8,1622.7,37.73,-1.09,""
"IRFC",27,146.85,123.31,3964.95,3329.37,-635.58,-16.03,-0.52,""
"JSWENERGY",1,728.7,527.8,728.7,527.8,-200.9,-27.57,-1.95,""
"NHPC",13,89.95,84.84,1169.35,1102.92,-66.43,-5.68,-1.52,""
"TATASTEEL",30,164.85,182.84,4945.5,5485.2,539.7,10.91,-0.82,""
"TMPV",10,769,410,7690,4100,-3590,-46.68,-0.59,""
"UJJIVANSFB",6,44.82,51.84,268.92,311.04,42.12,15.66,-1.76,""
"VIKASLIFE",159,4.94,2.08,785.36,330.72,-454.64,-57.89,0,""
