"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1059.4,26046.2,24366.2,-1680,-6.45,-1.02,""
"HDFCBANK",6,716.85,973.45,4301.1,5840.7,1539.6,35.8,0.86,""
"IRFC",27,146.85,125.2,3964.95,3380.4,-584.55,-14.74,-0.52,""
"JPASSOCIAT-BE",30,16.25,3.36,487.61,100.8,-386.81,-79.33,5,""
"JSWENERGY",1,728.7,541,728.7,541,-187.7,-25.76,0.2,""
"NHPC",13,89.95,86.61,1169.35,1125.93,-43.42,-3.71,-0.37,""
"TATAMOTORS",10,769,712.65,7690,7126.5,-563.5,-7.33,-0.48,""
"TATASTEEL",30,164.85,170.06,4945.5,5101.8,156.3,3.16,-1.82,""
"UJJIVANSFB",6,44.82,48.89,268.92,293.34,24.42,9.08,1.14,""
"VIKASLIFE",159,4.94,2.18,785.36,346.62,-438.74,-55.86,-0.91,""
