"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1060,26046.2,24380,-1666.2,-6.4,1.52,""
"HDFCBANK",6,716.85,994.25,4301.1,5965.5,1664.4,38.7,1.54,""
"IRFC",27,146.85,124.72,3964.95,3367.44,-597.51,-15.07,-0.13,""
"JSWENERGY",1,728.7,548.6,728.7,548.6,-180.1,-24.72,0.52,""
"NHPC",13,89.95,86.96,1169.35,1130.48,-38.87,-3.32,-0.13,""
"TATAMOTORS",10,769,396.8,7690,3968,-3722,-48.4,1.52,""
"TATASTEEL",30,164.85,174,4945.5,5220,274.5,5.55,0.44,""
"UJJIVANSFB",6,44.82,48.99,268.92,293.94,25.02,9.3,0.86,""
"VIKASLIFE",159,4.94,2.11,785.36,335.49,-449.87,-57.28,0,""
