"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1077.35,26046.2,24779.05,-1267.15,-4.87,-1.09,""
"HDFCBANK",6,716.85,991.6,4301.1,5949.6,1648.5,38.33,-0.52,""
"IRFC",27,146.85,120.85,3964.95,3262.95,-702,-17.71,-1.51,""
"JSWENERGY",1,728.7,527.05,728.7,527.05,-201.65,-27.67,-0.11,""
"NHPC",13,89.95,80.53,1169.35,1046.89,-122.46,-10.47,-0.92,""
"TATASTEEL",30,164.85,172.45,4945.5,5173.5,228,4.61,-0.42,""
"TMCV",10,239.54,325.25,2395.44,3252.5,857.07,35.78,0.67,""
"TMPV",10,529.46,371.25,5294.57,3712.5,-1582.06,-29.88,-0.39,""
"UJJIVANSFB",6,44.82,52.97,268.92,317.82,48.9,18.18,-1.51,""
"VIKASLIFE",159,4.94,1.98,785.36,314.82,-470.54,-59.91,-0.5,""
