"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1030.5,26046.2,23701.5,-2344.7,-9,-2.78,""
"HDFCBANK",6,716.85,998.05,4301.1,5988.3,1687.2,39.23,-1.07,""
"IRFC",27,146.85,119.1,3964.95,3215.7,-749.25,-18.9,-0.83,""
"JSWENERGY",1,728.7,484.6,728.7,484.6,-244.1,-33.5,-4.03,""
"NHPC",13,89.95,78.82,1169.35,1024.66,-144.69,-12.37,-1.62,""
"TATASTEEL",30,164.85,168,4945.5,5040,94.5,1.91,-2.59,""
"TMCV",10,239.54,324.1,2395.44,3241,845.57,35.3,0.39,""
"TMPV",10,529.46,362.25,5294.57,3622.5,-1672.06,-31.58,0.68,""
"UJJIVANSFB",6,44.82,54.13,268.92,324.78,55.86,20.77,0.19,""
"VIKASLIFE",159,4.94,1.9,785.36,302.1,-483.26,-61.53,-2.06,""
