"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,987.45,26046.2,22711.35,-3334.85,-12.8,0.05,""
"HDFCBANK",6,716.85,966.85,4301.1,5801.1,1500,34.87,-0.02,""
"IRFC",27,146.85,128.95,3964.95,3481.65,-483.3,-12.19,0.59,""
"JSWENERGY",1,728.7,540.05,728.7,540.05,-188.65,-25.89,1.51,""
"NHPC",13,89.95,88.59,1169.35,1151.67,-17.68,-1.51,2.27,""
"TATAMOTORS",10,769,713.25,7690,7132.5,-557.5,-7.25,0.05,""
"TATASTEEL",30,164.85,172.02,4945.5,5160.6,215.1,4.35,1.65,""
"UJJIVANSFB",6,44.82,45.96,268.92,275.76,6.84,2.54,-1.69,""
"VIKASLIFE",159,4.94,2.26,785.36,359.34,-426.02,-54.25,0.89,""
