"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,976.35,26046.2,22456.05,-3590.15,-13.78,1.35,""
"HDFCBANK",6,716.85,968.1,4301.1,5808.6,1507.5,35.05,0.21,""
"IRFC",27,146.85,125.5,3964.95,3388.5,-576.45,-14.54,-0.55,""
"JSWENERGY",1,728.7,521.55,728.7,521.55,-207.15,-28.43,0.49,""
"NHPC",13,89.95,82.28,1169.35,1069.64,-99.71,-8.53,3.42,""
"TATAMOTORS",10,769,705.85,7690,7058.5,-631.5,-8.21,-0.46,""
"TATASTEEL",30,164.85,169.41,4945.5,5082.3,136.8,2.77,-0.01,""
"UJJIVANSFB",6,44.82,47.23,268.92,283.38,14.46,5.38,-2.4,""
"VIKASLIFE",159,4.94,2.25,785.36,357.75,-427.61,-54.45,1.35,""
