"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1131.2,26046.2,26017.6,-28.6,-0.11,-1.83,""
"HDFCBANK",6,716.85,957.2,4301.1,5743.2,1442.1,33.53,-0.73,""
"IRFC",27,146.85,127.3,3964.95,3437.1,-527.85,-13.31,-0.97,""
"JSWENERGY",1,728.7,544.05,728.7,544.05,-184.65,-25.34,0.18,""
"NHPC",13,89.95,86.63,1169.35,1126.19,-43.16,-3.69,-1.25,""
"TATAMOTORS",10,769,701.35,7690,7013.5,-676.5,-8.8,0.73,""
"TATASTEEL",30,164.85,173.29,4945.5,5198.7,253.2,5.12,1.11,""
"UJJIVANSFB",6,44.82,45.26,268.92,271.56,2.64,0.98,1.05,""
"VIKASLIFE",159,4.94,2.24,785.36,356.16,-429.2,-54.65,-1.32,""
