"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1070.8,26046.2,24628.4,-1417.8,-5.44,2.55,""
"HDFCBANK",6,716.85,989.45,4301.1,5936.7,1635.6,38.03,-0.23,""
"IRFC",27,146.85,121.59,3964.95,3282.93,-682.02,-17.2,-0.02,""
"JSWENERGY",1,728.7,528.4,728.7,528.4,-200.3,-27.49,0.26,""
"NHPC",13,89.95,81.98,1169.35,1065.74,-103.61,-8.86,0.05,""
"TATASTEEL",30,164.85,178.61,4945.5,5358.3,412.8,8.35,-1.34,""
"TMCV",10,769,327.65,7690,3276.5,-4413.5,-57.39,25.11,""
"TMPV",10,769,402.15,7690,4021.5,-3668.5,-47.7,-1.34,""
"UJJIVANSFB",6,44.82,50.99,268.92,305.94,37.02,13.77,-0.12,""
"VIKASLIFE",159,4.94,2.03,785.36,322.77,-462.59,-58.9,1,""
