"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1017.1,26046.2,23393.3,-2652.9,-10.19,-1.36,""
"HDFCBANK",6,716.85,1002.95,4301.1,6017.7,1716.6,39.91,0.82,""
"IRFC",27,146.85,123.45,3964.95,3333.15,-631.8,-15.93,-0.23,""
"JPASSOCIAT-BE",30,16.25,3.3,487.61,99,-388.61,-79.7,-5.17,""
"JSWENERGY",1,728.7,529.05,728.7,529.05,-199.65,-27.4,-0.4,""
"NHPC",13,89.95,84.98,1169.35,1104.74,-64.61,-5.53,0.21,""
"TATASTEEL",30,164.85,176.6,4945.5,5298,352.5,7.13,1.2,""
"TMPV",10,769,410.1,7690,4101,-3589,-46.67,1.64,""
"UJJIVANSFB",6,44.82,54,268.92,324,55.08,20.48,3.81,""
"VIKASLIFE",159,4.94,2.09,785.36,332.31,-453.05,-57.69,-0.48,""
