"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1044.1,26046.2,24014.3,-2031.9,-7.8,0.76,""
"HDFCBANK",6,716.85,978.25,4301.1,5869.5,1568.4,36.47,0.11,""
"IRFC",27,146.85,124.88,3964.95,3371.76,-593.19,-14.96,0.29,""
"JSWENERGY",1,728.7,545.65,728.7,545.65,-183.05,-25.12,0.65,""
"NHPC",13,89.95,87.04,1169.35,1131.52,-37.83,-3.24,1.97,""
"TATAMOTORS",10,769,390.75,7690,3907.5,-3782.5,-49.19,-1.2,""
"TATASTEEL",30,164.85,173,4945.5,5190,244.5,4.94,1.46,""
"UJJIVANSFB",6,44.82,48.4,268.92,290.4,21.48,7.99,1.72,""
"VIKASLIFE",159,4.94,2.11,785.36,335.49,-449.87,-57.28,0.48,""
