Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1088.6,26046.2,25037.8,-1008.4,-3.87,1.85
HDFCBANK,6,716.85,996.55,4301.1,5979.3,1678.2,39.02,0.7
IRFC,27,146.85,122.5,3964.95,3307.5,-657.45,-16.58,1.23
JPASSOCIAT,30,16.25,3.01,487.61,90.3,-397.31,-81.48,-2.9
JSWENERGY,1,728.7,527.65,728.7,527.65,-201.05,-27.59,-0.25
NHPC,13,89.95,81.28,1169.35,1056.64,-112.71,-9.64,1.18
TATASTEEL,30,164.85,173.17,4945.5,5195.1,249.6,5.05,-0.63
TMCV,10,239.54,323.1,2395.44,3231,835.57,34.88,0.45
TMPV,10,529.46,372.7,5294.57,3727,-1567.56,-29.61,-4.83
UJJIVANSFB,6,44.82,53.77,268.92,322.62,53.7,19.97,3.74
VIKASLIFE,159,4.94,1.99,785.36,316.41,-468.95,-59.71,0.51
