Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1105.1,26046.2,25417.3,-628.9,-2.41,-3.15
HDFCBANK,6,716.85,992.5,4301.1,5955,1653.9,38.45,0.49
IRFC,27,146.85,123.28,3964.95,3328.56,-636.39,-16.05,-0.02
JPASSOCIAT,30,16.25,3.13,487.61,93.9,-393.71,-80.74,-5.15
JSWENERGY,1,728.7,533.55,728.7,533.55,-195.15,-26.78,1.09
NHPC,13,89.95,85.4,1169.35,1110.2,-59.15,-5.06,0.66
TATASTEEL,30,164.85,182.65,4945.5,5479.5,534,10.8,-0.16
TMPV,10,769,417.05,7690,4170.5,-3519.5,-45.77,1.69
UJJIVANSFB,6,44.82,52.64,268.92,315.84,46.92,17.45,1.54
VIKASLIFE,159,4.94,2.07,785.36,329.13,-456.23,-58.09,-0.48
