"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,978.9,26046.2,22514.7,-3531.5,-13.56,-0.08,""
"HDFCBANK",6,716.85,976.9,4301.1,5861.4,1560.3,36.28,1.08,""
"IRFC",27,146.85,129.2,3964.95,3488.4,-476.55,-12.02,-0.12,""
"JSWENERGY",1,728.7,537.7,728.7,537.7,-191,-26.21,0.49,""
"NHPC",13,89.95,87.09,1169.35,1132.17,-37.18,-3.18,-0.14,""
"TATAMOTORS",10,769,711,7690,7110,-580,-7.54,-1.13,""
"TATASTEEL",30,164.85,172.03,4945.5,5160.9,215.4,4.36,0.39,""
"UJJIVANSFB",6,44.82,45.51,268.92,273.06,4.14,1.54,-0.52,""
"VIKASLIFE",159,4.94,2.31,785.36,367.29,-418.07,-53.23,2.67,""
