"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1031.4,26046.2,23722.2,-2324,-8.92,-0.33,""
"HDFCBANK",6,716.85,1009.5,4301.1,6057,1755.9,40.82,0.56,""
"IRFC",27,146.85,117.96,3964.95,3184.92,-780.03,-19.67,-0.1,""
"JSWENERGY",1,728.7,488,728.7,488,-240.7,-33.03,0.15,""
"NHPC",13,89.95,76.96,1169.35,1000.48,-168.87,-14.44,-0.61,""
"TATASTEEL",30,164.85,168.1,4945.5,5043,97.5,1.97,-0.97,""
"TMCV",10,239.54,343.85,2395.44,3438.5,1043.07,43.54,6.06,""
"TMPV",10,529.46,357.8,5294.57,3578,-1716.56,-32.42,-0.4,""
"UJJIVANSFB",6,44.82,54.63,268.92,327.78,58.86,21.89,-2.34,""
"VIKASLIFE",159,4.94,1.89,785.36,300.51,-484.85,-61.74,-2.58,""
