"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1139.1,26046.2,26199.3,153.1,0.59,2.34,""
"HDFCBANK",6,716.85,998.1,4301.1,5988.6,1687.5,39.23,-0.97,""
"IRFC",27,146.85,123.9,3964.95,3345.3,-619.65,-15.63,-1,""
"JSWENERGY",1,728.7,538.3,728.7,538.3,-190.4,-26.13,0.7,""
"NHPC",13,89.95,86.1,1169.35,1119.3,-50.05,-4.28,-0.99,""
"TATASTEEL",30,164.85,184.35,4945.5,5530.5,585,11.83,-0.45,""
"TMPV",10,769,412.3,7690,4123,-3567,-46.38,0.17,""
"UJJIVANSFB",6,44.82,52.71,268.92,316.26,47.34,17.6,0.92,""
"VIKASLIFE",159,4.94,2.08,785.36,330.72,-454.64,-57.89,-0.48,""
