"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1051.3,26046.2,24179.9,-1866.3,-7.17,-1.22,""
"HDFCBANK",6,716.85,977.95,4301.1,5867.7,1566.6,36.42,-0.3,""
"IRFC",27,146.85,125.5,3964.95,3388.5,-576.45,-14.54,-0.79,""
"JPASSOCIAT-BE",30,16.25,3.67,487.61,110.1,-377.51,-77.42,-5.17,""
"JSWENERGY",1,728.7,544.45,728.7,544.45,-184.25,-25.28,-0.28,""
"NHPC",13,89.95,86.45,1169.35,1123.85,-45.5,-3.89,-0.56,""
"TATAMOTORS",10,769,660.9,7690,6609,-1081,-14.06,-2.67,""
"TATASTEEL",30,164.85,173.03,4945.5,5190.9,245.4,4.96,-0.48,""
"UJJIVANSFB",6,44.82,48.68,268.92,292.08,23.16,8.61,-0.29,""
"VIKASLIFE",159,4.94,2.14,785.36,340.26,-445.1,-56.67,-0.93,""
