"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1036.7,26046.2,23844.1,-2202.1,-8.45,-2.23,""
"HDFCBANK",6,716.85,1002.55,4301.1,6015.3,1714.2,39.85,0.82,""
"IRFC",27,146.85,123.52,3964.95,3335.04,-629.91,-15.89,-0.96,""
"JSWENERGY",1,728.7,540.7,728.7,540.7,-188,-25.8,-1.45,""
"NHPC",13,89.95,86.78,1169.35,1128.14,-41.21,-3.52,-0.21,""
"TATAMOTORS",10,769,396.55,7690,3965.5,-3724.5,-48.43,-0.1,""
"TATASTEEL",30,164.85,172.25,4945.5,5167.5,222,4.49,-1.03,""
"UJJIVANSFB",6,44.82,48.72,268.92,292.32,23.4,8.7,-0.55,""
"VIKASLIFE",159,4.94,2.11,785.36,335.49,-449.87,-57.28,0,""
