"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1079.55,26046.2,24829.65,-1216.55,-4.67,-1.43,""
"HDFCBANK",6,716.85,949.85,4301.1,5699.1,1398,32.5,-0.13,""
"IRFC",27,146.85,124.1,3964.95,3350.7,-614.25,-15.49,-1.19,""
"JSWENERGY",1,728.7,528.6,728.7,528.6,-200.1,-27.46,-1.22,""
"NHPC",13,89.95,86.43,1169.35,1123.59,-45.76,-3.91,0.16,""
"TATAMOTORS",10,769,664.3,7690,6643,-1047,-13.62,-2.73,""
"TATASTEEL",30,164.85,172.3,4945.5,5169,223.5,4.52,-0.23,""
"UJJIVANSFB",6,44.82,44.97,268.92,269.82,0.9,0.33,-0.09,""
"VIKASLIFE",159,4.94,2.21,785.36,351.39,-433.97,-55.26,-1.34,""
