"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,943.7,26046.2,21705.1,-4341.1,-16.67,0.69,""
"HDFCBANK",6,716.85,965.15,4301.1,5790.9,1489.8,34.64,-0.09,""
"IRFC",27,146.85,124.8,3964.95,3369.6,-595.35,-15.02,0.16,""
"JSWENERGY",1,728.7,506.1,728.7,506.1,-222.6,-30.55,-0.8,""
"NHPC",13,89.95,78.57,1169.35,1021.41,-147.94,-12.65,-0.09,""
"TATAMOTORS",10,769,715.55,7690,7155.5,-534.5,-6.95,-0.55,""
"TATASTEEL",30,164.85,169.15,4945.5,5074.5,129,2.61,0.18,""
"UJJIVANSFB",6,44.82,47.45,268.92,284.7,15.78,5.87,7.38,""
"VIKASLIFE",159,4.94,2.23,785.36,354.57,-430.79,-54.85,-1.33,""
