"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1045.55,26046.2,24047.65,-1998.55,-7.67,0.51,""
"HDFCBANK",6,716.85,1008.8,4301.1,6052.8,1751.7,40.73,0.11,""
"IRFC",27,146.85,125.1,3964.95,3377.7,-587.25,-14.81,-0.12,""
"JSWENERGY",1,728.7,533,728.7,533,-195.7,-26.86,0.92,""
"NHPC",13,89.95,85.82,1169.35,1115.66,-53.69,-4.59,-0.61,""
"TATAMOTORS",10,769,405.85,7690,4058.5,-3631.5,-47.22,0.98,""
"TATASTEEL",30,164.85,174.1,4945.5,5223,277.5,5.61,0.75,""
"UJJIVANSFB",6,44.82,51.9,268.92,311.4,42.48,15.8,2.83,""
"VIKASLIFE",159,4.94,2.11,785.36,335.49,-449.87,-57.28,-0.94,""
