"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1012.1,26046.2,23278.3,-2767.9,-10.63,0.25,""
"HDFCBANK",6,716.85,989.8,4301.1,5938.8,1637.7,38.08,-0.94,""
"IRFC",27,146.85,116.74,3964.95,3151.98,-812.97,-20.5,-0.14,""
"JSWENERGY",1,728.7,476.6,728.7,476.6,-252.1,-34.6,-0.91,""
"NHPC",13,89.95,77.2,1169.35,1003.6,-165.75,-14.17,0.18,""
"TATASTEEL",30,164.85,166.33,4945.5,4989.9,44.4,0.9,0.59,""
"TMCV-BE",10,239.54,317.85,2395.44,3178.5,783.07,32.69,-0.86,""
"TMPV",10,529.46,352.45,5294.57,3524.5,-1770.06,-33.43,-1.63,""
"UJJIVANSFB",6,44.82,53.84,268.92,323.04,54.12,20.12,0,""
"VIKASLIFE",159,4.94,1.76,785.36,279.84,-505.52,-64.37,-3.83,""
