"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1035.35,26046.2,23813.05,-2233.15,-8.57,-1.15,""
"HDFCBANK",6,716.85,950.45,4301.1,5702.7,1401.6,32.59,0.56,""
"IRFC",27,146.85,124.26,3964.95,3355.02,-609.93,-15.38,1.93,""
"JPASSOCIAT-BE",30,16.25,2.91,487.61,87.3,-400.31,-82.1,-5.21,""
"JSWENERGY",1,728.7,528.55,728.7,528.55,-200.15,-27.47,1.62,""
"NHPC",13,89.95,85.9,1169.35,1116.7,-52.65,-4.5,2.65,""
"TATAMOTORS",10,769,672.5,7690,6725,-965,-12.55,-0.07,""
"TATASTEEL",30,164.85,169.05,4945.5,5071.5,126,2.55,0.96,""
"UJJIVANSFB",6,44.82,46.08,268.92,276.48,7.56,2.81,4.3,""
"VIKASLIFE",159,4.94,2.2,785.36,349.8,-435.56,-55.46,-0.45,""
