"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1051.15,26046.2,24176.45,-1869.75,-7.18,0.55,""
"HDFCBANK",6,716.85,977.15,4301.1,5862.9,1561.8,36.31,-0.16,""
"IRFC",27,146.85,125.1,3964.95,3377.7,-587.25,-14.81,0.64,""
"JPASSOCIAT",30,16.25,3.92,487.61,117.6,-370.01,-75.88,4.81,""
"JSWENERGY",1,728.7,542.95,728.7,542.95,-185.75,-25.49,1.59,""
"NHPC",13,89.95,86.85,1169.35,1129.05,-40.3,-3.45,1.65,""
"TATAMOTORS",10,769,684.4,7690,6844,-846,-11,0.42,""
"TATASTEEL",30,164.85,176.21,4945.5,5286.3,340.8,6.89,2.48,""
"UJJIVANSFB",6,44.82,48.1,268.92,288.6,19.68,7.32,0.82,""
"VIKASLIFE",159,4.94,2.16,785.36,343.44,-441.92,-56.27,-0.46,""
