"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1060,26046.2,24380,-1666.2,-6.4,-0.93,""
"HDFCBANK",6,716.85,1008.8,4301.1,6052.8,1751.7,40.73,1.42,""
"IRFC",27,146.85,120.1,3964.95,3242.7,-722.25,-18.22,-0.62,""
"JSWENERGY",1,728.7,504.85,728.7,504.85,-223.85,-30.72,-1.71,""
"NHPC",13,89.95,80.12,1169.35,1041.56,-127.79,-10.93,0.09,""
"TATASTEEL",30,164.85,172.46,4945.5,5173.8,228.3,4.62,-0.43,""
"TMCV",10,239.54,322.5,2395.44,3225,829.57,34.63,-0.89,""
"TMPV",10,529.46,359.75,5294.57,3597.5,-1697.06,-32.05,-0.32,""
"UJJIVANSFB",6,44.82,54.03,268.92,324.18,55.26,20.55,-0.15,""
"VIKASLIFE",159,4.94,1.94,785.36,308.46,-476.9,-60.72,-1.02,""
