"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,929.2,26046.2,21371.6,-4674.6,-17.95,-0.01,""
"HDFCBANK",6,716.85,963.4,4301.1,5780.4,1479.3,34.39,0.22,""
"IRFC",27,146.85,123.45,3964.95,3333.15,-631.8,-15.93,1.44,""
"JSWENERGY",1,728.7,504.1,728.7,504.1,-224.6,-30.82,0.32,""
"NHPC",13,89.95,77.87,1169.35,1012.31,-157.04,-13.43,-0.29,""
"TATAMOTORS",10,769,691.85,7690,6918.5,-771.5,-10.03,0.63,""
"TATASTEEL",30,164.85,167.68,4945.5,5030.4,84.9,1.72,0.52,""
"UJJIVANSFB",6,44.82,42.57,268.92,255.42,-13.5,-5.02,-1.25,""
"VIKASLIFE",159,4.94,2.26,785.36,359.34,-426.02,-54.25,-0.44,""
