"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1045.1,26046.2,24037.3,-2008.9,-7.71,-1.47,""
"HDFCBANK",6,716.85,978.7,4301.1,5872.2,1571.1,36.53,-0.39,""
"IRFC",27,146.85,124.2,3964.95,3353.4,-611.55,-15.42,-2.28,""
"JPASSOCIAT-BE",30,16.25,3.69,487.61,110.7,-376.91,-77.3,4.83,""
"JSWENERGY",1,728.7,534.45,728.7,534.45,-194.25,-26.66,-2.52,""
"NHPC",13,89.95,85.37,1169.35,1109.81,-59.54,-5.09,-1.29,""
"TATAMOTORS",10,769,681.3,7690,6813,-877,-11.4,-2.41,""
"TATASTEEL",30,164.85,171.94,4945.5,5158.2,212.7,4.3,0.3,""
"UJJIVANSFB",6,44.82,47.71,268.92,286.26,17.34,6.45,-1.47,""
"VIKASLIFE",159,4.94,2.17,785.36,345.03,-440.33,-56.07,-0.46,""
