"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1062,26046.2,24426,-1620.2,-6.22,-2.25,""
"HDFCBANK",6,716.85,987.5,4301.1,5925,1623.9,37.76,0.23,""
"IRFC",27,146.85,120.25,3964.95,3246.75,-718.2,-18.11,-1.63,""
"JSWENERGY",1,728.7,517.3,728.7,517.3,-211.4,-29.01,-2.05,""
"NHPC",13,89.95,82.8,1169.35,1076.4,-92.95,-7.95,-1.62,""
"TATASTEEL",30,164.85,177.27,4945.5,5318.1,372.6,7.53,-1.13,""
"TMPV",10,769,407.85,7690,4078.5,-3611.5,-46.96,0.33,""
"UJJIVANSFB",6,44.82,51.18,268.92,307.08,38.16,14.19,-1.52,""
"VIKASLIFE",159,4.94,1.98,785.36,314.82,-470.54,-59.91,-1.98,""
