"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1059,26046.2,24357,-1689.2,-6.49,-0.14,""
"HDFCBANK",6,716.85,984.3,4301.1,5905.8,1604.7,37.31,-0.04,""
"IRFC",27,146.85,121.4,3964.95,3277.8,-687.15,-17.33,0.96,""
"JSWENERGY",1,728.7,518.5,728.7,518.5,-210.2,-28.85,0.22,""
"NHPC",13,89.95,81.47,1169.35,1059.11,-110.24,-9.43,-1.68,""
"TATASTEEL",30,164.85,181.5,4945.5,5445,499.5,10.1,2.39,""
"TMPV",10,769,405.75,7690,4057.5,-3632.5,-47.24,-0.51,""
"UJJIVANSFB",6,44.82,52.34,268.92,314.04,45.12,16.78,2.23,""
"VIKASLIFE",159,4.94,1.97,785.36,313.23,-472.13,-60.12,-0.51,""
