"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1034.85,26046.2,23801.55,-2244.65,-8.62,2.25,""
"HDFCBANK",6,716.85,1003.85,4301.1,6023.1,1722,40.04,1.41,""
"IRFC",27,146.85,118,3964.95,3186,-778.95,-19.65,1.07,""
"JSWENERGY",1,728.7,487.15,728.7,487.15,-241.55,-33.15,2.17,""
"NHPC",13,89.95,77.43,1169.35,1006.59,-162.76,-13.92,0.26,""
"TATASTEEL",30,164.85,169.75,4945.5,5092.5,147,2.97,2.04,""
"TMCV",10,239.54,324.2,2395.44,3242,846.57,35.34,1.82,""
"TMPV",10,529.46,359.2,5294.57,3592,-1702.56,-32.16,1.92,""
"UJJIVANSFB",6,44.82,55.93,268.92,335.58,66.66,24.79,3.84,""
"VIKASLIFE",159,4.94,1.94,785.36,308.46,-476.9,-60.72,10.23,""
