"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1152.3,26046.2,26502.9,456.7,1.75,11.75,""
"HDFCBANK",6,716.85,963.8,4301.1,5782.8,1481.7,34.45,-0.34,""
"IRFC",27,146.85,128.55,3964.95,3470.85,-494.1,-12.46,-0.89,""
"JPASSOCIAT",30,16.25,3.1,487.61,93,-394.61,-80.93,-4.91,""
"JSWENERGY",1,728.7,542.95,728.7,542.95,-185.75,-25.49,-0.47,""
"NHPC",13,89.95,87.7,1169.35,1140.1,-29.25,-2.5,-0.2,""
"TATAMOTORS",10,769,696.1,7690,6961,-729,-9.48,-1.69,""
"TATASTEEL",30,164.85,171.35,4945.5,5140.5,195,3.94,-0.09,""
"UJJIVANSFB",6,44.82,44.79,268.92,268.74,-0.18,-0.07,-2.31,""
"VIKASLIFE",159,4.94,2.27,785.36,360.93,-424.43,-54.04,-2.99,
