"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1095.25,26046.2,25190.75,-855.45,-3.28,-3.2,""
"HDFCBANK",6,716.85,950.5,4301.1,5703,1401.9,32.59,-0.74,""
"IRFC",27,146.85,125.6,3964.95,3391.2,-573.75,-14.47,-1.34,""
"JSWENERGY",1,728.7,535.05,728.7,535.05,-193.65,-26.57,-1.65,""
"NHPC",13,89.95,86.26,1169.35,1121.38,-47.97,-4.1,-0.43,""
"TATAMOTORS",10,769,682.75,7690,6827.5,-862.5,-11.22,-2.67,""
"TATASTEEL",30,164.85,172.66,4945.5,5179.8,234.3,4.74,-0.36,""
"UJJIVANSFB",6,44.82,44.98,268.92,269.88,0.96,0.36,-0.62,""
"VIKASLIFE",159,4.94,2.24,785.36,356.16,-429.2,-54.65,0,""
