"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1036.25,26046.2,23833.75,-2212.45,-8.49,-1.43,""
"HDFCBANK",6,716.85,977.15,4301.1,5862.9,1561.8,36.31,0.02,""
"IRFC",27,146.85,124.52,3964.95,3362.04,-602.91,-15.21,-0.78,""
"JSWENERGY",1,728.7,541.05,728.7,541.05,-187.65,-25.75,-0.62,""
"NHPC",13,89.95,85.35,1169.35,1109.55,-59.8,-5.11,-1.28,""
"TATAMOTORS",10,769,395.5,7690,3955,-3735,-48.57,-40.16,""
"TATASTEEL",30,164.85,170.51,4945.5,5115.3,169.8,3.43,-1.46,""
"UJJIVANSFB",6,44.82,47.58,268.92,285.48,16.56,6.16,-2.38,""
"VIKASLIFE",159,4.94,2.1,785.36,333.9,-451.46,-57.48,-1.87,""
