"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1034.1,26046.2,23784.3,-2261.9,-8.68,-0.25,""
"HDFCBANK",6,716.85,1002.95,4301.1,6017.7,1716.6,39.91,0.04,""
"IRFC",27,146.85,125.05,3964.95,3376.35,-588.6,-14.85,1.21,""
"JPASSOCIAT-BE",30,16.25,3.48,487.61,104.4,-383.21,-78.59,-5.18,""
"JSWENERGY",1,728.7,525.2,728.7,525.2,-203.5,-27.93,-2.88,""
"NHPC",13,89.95,86.6,1169.35,1125.8,-43.55,-3.72,-0.21,""
"TATAMOTORS",10,769,399.75,7690,3997.5,-3692.5,-48.02,0.79,""
"TATASTEEL",30,164.85,171.9,4945.5,5157,211.5,4.28,-0.2,""
"UJJIVANSFB",6,44.82,51.23,268.92,307.38,38.46,14.3,5.09,""
"VIKASLIFE",159,4.94,2.12,785.36,337.08,-448.28,-57.08,0.47,""
