Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1076.55,26046.2,24760.65,-1285.55,-4.94,0.45
HDFCBANK,6,716.85,986.65,4301.1,5919.9,1618.8,37.64,-0.29
IRFC,27,146.85,120.75,3964.95,3260.25,-704.7,-17.77,-0.69
JSWENERGY,1,728.7,528.3,728.7,528.3,-200.4,-27.5,0.05
NHPC,13,89.95,81.48,1169.35,1059.24,-110.11,-9.42,-0.61
TATASTEEL,30,164.85,176.6,4945.5,5298,352.5,7.13,-1.15
TMPV,10,769,398.05,7690,3980.5,-3709.5,-48.24,-1.06
UJJIVANSFB,6,44.82,51.92,268.92,311.52,42.6,15.84,1.8
VIKASLIFE,159,4.94,2.01,785.36,319.59,-465.77,-59.31,-0.99
,10,769,320.75,7690,3207.5,0,0,-2.64
