"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1113.05,26046.2,25600.15,-446.05,-1.71,10.8,""
"HDFCBANK",6,716.85,1007.9,4301.1,6047.4,1746.3,40.6,0.43,""
"IRFC",27,146.85,125.15,3964.95,3379.05,-585.9,-14.78,1.91,""
"JSWENERGY",1,728.7,534.45,728.7,534.45,-194.25,-26.66,-0.35,""
"NHPC",13,89.95,86.95,1169.35,1130.35,-39,-3.34,2.74,""
"TATASTEEL",30,164.85,185.15,4945.5,5554.5,609,12.31,1.81,""
"TMPV",10,769,411.6,7690,4116,-3574,-46.48,0,""
"UJJIVANSFB",6,44.82,52.23,268.92,313.38,44.46,16.53,-2.5,""
"VIKASLIFE",159,4.94,2.09,785.36,332.31,-453.05,-57.69,0,""
