"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1069.9,26046.2,24607.7,-1438.5,-5.52,-0.71,""
"HDFCBANK",6,716.85,994.6,4301.1,5967.6,1666.5,38.75,0.22,""
"IRFC",27,146.85,120.85,3964.95,3262.95,-702,-17.71,0,""
"JSWENERGY",1,728.7,513.65,728.7,513.65,-215.05,-29.51,-2.52,""
"NHPC",13,89.95,80.02,1169.35,1040.26,-129.09,-11.04,-0.63,""
"TATASTEEL",30,164.85,173.21,4945.5,5196.3,250.8,5.07,0.44,""
"TMCV",10,239.54,325.4,2395.44,3254,858.56,35.84,0.05,""
"TMPV",10,529.46,360.85,5294.57,3608.5,-1686.06,-31.85,-2.81,""
"UJJIVANSFB",6,44.82,54.06,268.92,324.36,55.44,20.62,2.04,""
"VIKASLIFE",159,4.94,1.96,785.36,311.64,-473.72,-60.32,-1.01,""
