"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1068.8,26046.2,24582.4,-1463.8,-5.62,-0.74,""
"HDFCBANK",6,716.85,988.85,4301.1,5933.1,1632,37.94,0.21,""
"IRFC",27,146.85,121,3964.95,3267,-697.95,-17.6,0.21,""
"JSWENERGY",1,728.7,528.8,728.7,528.8,-199.9,-27.43,0.09,""
"NHPC",13,89.95,80.33,1169.35,1044.29,-125.06,-10.69,-1.41,""
"TATASTEEL",30,164.85,174.26,4945.5,5227.8,282.3,5.71,-1.35,""
"",10,769,317.6,7690,3176,0,0,-0.98,""
"TMPV",10,769,391.6,7690,3916,-3774,-49.08,-1.62,""
"UJJIVANSFB",6,44.82,51.81,268.92,310.86,41.94,15.6,-0.21,""
"VIKASLIFE",159,4.94,1.98,785.36,314.82,-470.54,-59.91,-1.49,""
