"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1038.55,26046.2,23886.65,-2159.55,-8.29,-2.04,""
"HDFCBANK",6,716.85,984.35,4301.1,5906.1,1605,37.32,0.15,""
"IRFC",27,146.85,120.75,3964.95,3260.25,-704.7,-17.77,-0.54,""
"JPASSOCIAT-BE",30,16.25,3.1,487.61,93,-394.61,-80.93,-0.96,""
"JSWENERGY",1,728.7,522.35,728.7,522.35,-206.35,-28.32,0.5,""
"NHPC",13,89.95,82.31,1169.35,1070.03,-99.32,-8.49,1.02,""
"TATASTEEL",30,164.85,181.4,4945.5,5442,496.5,10.04,-0.03,""
"TMPV",10,769,410.45,7690,4104.5,-3585.5,-46.63,1.17,""
"UJJIVANSFB",6,44.82,51.73,268.92,310.38,41.46,15.42,-1.24,""
"VIKASLIFE",159,4.94,2.01,785.36,319.59,-465.77,-59.31,2.55,""
