"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1029.3,26046.2,23673.9,-2372.3,-9.11,-1.53,""
"HDFCBANK",6,716.85,994.7,4301.1,5968.2,1667.1,38.76,-1.41,""
"IRFC",27,146.85,123.73,3964.95,3340.71,-624.24,-15.74,-1.1,""
"JSWENERGY",1,728.7,531.15,728.7,531.15,-197.55,-27.11,-0.4,""
"NHPC",13,89.95,84.79,1169.35,1102.27,-67.08,-5.74,-1.2,""
"TMPV",10,769,403.5,7690,4035,-3655,-47.53,-0.58,""
"TATASTEEL",30,164.85,174.44,4945.5,5233.2,287.7,5.82,0.16,""
"UJJIVANSFB",6,44.82,51.98,268.92,311.88,42.96,15.98,0.15,""
"VIKASLIFE",159,4.94,2.1,785.36,333.9,-451.46,-57.48,-0.47,""
