"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1047.4,26046.2,24090.2,-1956,-7.51,-2.98,""
"HDFCBANK",6,716.85,945.05,4301.1,5670.3,1369.2,31.83,-0.51,""
"IRFC",27,146.85,121.9,3964.95,3291.3,-673.65,-16.99,-1.77,""
"JSWENERGY",1,728.7,520,728.7,520,-208.7,-28.64,-1.63,""
"NHPC",13,89.95,83.68,1169.35,1087.84,-81.51,-6.97,-3.18,""
"TATAMOTORS",10,769,672.9,7690,6729,-961,-12.5,1.29,""
"TATASTEEL",30,164.85,167.4,4945.5,5022,76.5,1.55,-2.89,""
"UJJIVANSFB",6,44.82,44.11,268.92,264.66,-4.26,-1.58,-1.93,""
"VIKASLIFE",159,4.94,2.21,785.36,351.39,-433.97,-55.26,0,""
