"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,981.6,26046.2,22576.8,-3469.4,-13.32,0.53,""
"HDFCBANK",6,716.85,966.9,4301.1,5801.4,1500.3,34.88,-0.12,""
"IRFC",27,146.85,126.23,3964.95,3408.21,-556.74,-14.04,0.56,""
"JSWENERGY",1,728.7,525.95,728.7,525.95,-202.75,-27.82,0.83,""
"NHPC",13,89.95,83.5,1169.35,1085.5,-83.85,-7.17,1.48,""
"TATAMOTORS",10,769,715,7690,7150,-540,-7.02,1.3,""
"TATASTEEL",30,164.85,169.78,4945.5,5093.4,147.9,2.99,0.22,""
"UJJIVANSFB",6,44.82,46.62,268.92,279.72,10.8,4.02,-1.31,""
"VIKASLIFE",159,4.94,2.25,785.36,357.75,-427.61,-54.45,0,""
