"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1064.3,26046.2,24478.9,-1567.3,-6.02,1.22,""
"HDFCBANK",6,716.85,980.9,4301.1,5885.4,1584.3,36.83,0.39,""
"IRFC",27,146.85,126.5,3964.95,3415.5,-549.45,-13.86,1.14,""
"JSWENERGY",1,728.7,545.95,728.7,545.95,-182.75,-25.08,0.55,""
"NHPC",13,89.95,86.91,1169.35,1129.83,-39.52,-3.38,0.23,""
"TATAMOTORS",10,769,678.95,7690,6789.5,-900.5,-11.71,-0.32,""
"TATASTEEL",30,164.85,173.86,4945.5,5215.8,270.3,5.47,-1.45,""
"UJJIVANSFB",6,44.82,48.78,268.92,292.68,23.76,8.84,1.18,""
"VIKASLIFE",159,4.94,2.16,785.36,343.44,-441.92,-56.27,0,""
